company,company_location,review_date,country_of_bean_origin,cocoa_percent,rating,counts_of_ingredients,cocoa_butter,vanilla,lecithin,salt,sugar,sweetener_without_sugar,first_taste,company_latitude,company_longitude,origin_latitude,origin_longitude
5150,Us,2019,Madagascar,76.0,3.75,3,1,0,0,0,1,0,cocoa,37.09024,-95.712891,-18.766947,46.869107
5150,Us,2019,Dominican Republic,76.0,3.5,3,1,0,0,0,1,0,cocoa,37.09024,-95.712891,18.735693,-70.162651
5150,Us,2019,Tanzania,76.0,3.25,3,1,0,0,0,1,0,rich cocoa,37.09024,-95.712891,-6.369028,34.888822
A. Morin,France,2012,Peru,63.0,3.75,4,1,0,1,0,1,0,fruity,46.227638,2.213749,-9.189967,-75.015152
A. Morin,France,2012,Bolivia,70.0,3.5,4,1,0,1,0,1,0,vegetal,46.227638,2.213749,-16.290154,-63.588653
A. Morin,France,2013,Venezuela,70.0,4.0,4,1,0,1,0,1,0,oily,46.227638,2.213749,6.42375,-66.58973
A. Morin,France,2013,Peru,63.0,4.0,3,1,0,0,0,1,0,sweet,46.227638,2.213749,-9.189967,-75.015152
A. Morin,France,2013,Ecuador,70.0,3.75,4,1,0,1,0,1,0,sandy,46.227638,2.213749,-1.831239,-78.183406
A. Morin,France,2013,Peru,70.0,3.5,4,1,0,1,0,1,0,cocoa,46.227638,2.213749,-9.189967,-75.015152
A. Morin,France,2013,Brazil,70.0,3.25,4,1,0,1,0,1,0,mild tobacco,46.227638,2.213749,-14.235004,-51.92528
A. Morin,France,2013,Papua New Guinea,70.0,3.25,4,1,0,1,0,1,0,mild fruit,46.227638,2.213749,-6.314993,143.95555
A. Morin,France,2013,Peru,70.0,3.25,4,1,0,1,0,1,0,green,46.227638,2.213749,-9.189967,-75.015152
A. Morin,France,2013,Madagascar,70.0,3.0,4,1,0,1,0,1,0,sticky,46.227638,2.213749,-18.766947,46.869107
A. Morin,France,2013,Burma,70.0,3.0,4,1,0,1,0,1,0,sticky,46.227638,2.213749,,
A. Morin,France,2013,Panama,70.0,2.75,4,1,0,1,0,1,0,brief fruit note,46.227638,2.213749,8.537981,-80.782127
A. Morin,France,2013,Colombia,70.0,2.75,4,1,0,1,0,1,0,burnt rubber,46.227638,2.213749,4.570868,-74.297333
A. Morin,France,2014,Peru,70.0,4.0,4,1,0,1,0,1,0,delicate,46.227638,2.213749,-9.189967,-75.015152
A. Morin,France,2014,Venezuela,70.0,3.75,4,1,0,1,0,1,0,astringent,46.227638,2.213749,6.42375,-66.58973
A. Morin,France,2014,Cuba,70.0,3.5,4,1,0,1,0,1,0,sliglty dry,46.227638,2.213749,21.521757,-77.781167
A. Morin,France,2014,Venezuela,70.0,3.5,4,1,0,1,0,1,0,nutty,46.227638,2.213749,6.42375,-66.58973
A. Morin,France,2014,Venezuela,70.0,2.75,4,1,0,1,0,1,0,harsh,46.227638,2.213749,6.42375,-66.58973
A. Morin,France,2015,Togo,70.0,3.5,4,1,0,1,0,1,0,mild profile,46.227638,2.213749,8.619543,0.824782
A. Morin,France,2015,Peru,70.0,3.5,4,1,0,1,0,1,0,grainy texture,46.227638,2.213749,-9.189967,-75.015152
A. Morin,France,2015,Togo,70.0,3.0,4,1,0,1,0,1,0,roasty,46.227638,2.213749,8.619543,0.824782
A. Morin,France,2015,Togo,70.0,2.75,4,1,0,1,0,1,0,burnt wood,46.227638,2.213749,8.619543,0.824782
A. Morin,France,2016,Sao Tome,63.0,3.75,4,1,0,1,0,1,0,sweet,46.227638,2.213749,,
A. Morin,France,2018,Peru,63.0,3.75,4,1,0,1,0,1,0,sweet,46.227638,2.213749,-9.189967,-75.015152
A. Morin,France,2018,Venezuela,70.0,3.5,4,1,0,1,0,1,0,alluring aroma,46.227638,2.213749,6.42375,-66.58973
Acalli,Us,2015,Peru,70.0,3.75,2,0,0,0,0,1,0,yellow fruit,37.09024,-95.712891,-9.189967,-75.015152
Acalli,Us,2015,Peru,70.0,3.75,2,0,0,0,0,1,0,intense,37.09024,-95.712891,-9.189967,-75.015152
Acalli,Us,2020,Peru,70.0,3.5,2,0,0,0,0,1,0,hot cocoa,37.09024,-95.712891,-9.189967,-75.015152
